#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:17.890005Z,0.302431476,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:18.890005Z,0.428440574,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:19.890005Z,0.354578211,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:20.890005Z,0.338578114,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:21.890005Z,0.36158156,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:22.890005Z,0.37613006,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:23.890005Z,0.3506693,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:24.890005Z,0.332684903,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:25.890005Z,0.298171152,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:26.890005Z,0.288049343,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:27.890005Z,0.378606539,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:28.890005Z,0.3319077,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:29.890005Z,0.281347304,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:30.890005Z,0.274813709,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:31.890005Z,0.295857166,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:32.890005Z,0.308318037,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:33.890005Z,0.306086733,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:34.890005Z,0.319146747,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:35.890005Z,0.440813605,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:36.890005Z,0.30342086,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:37.890005Z,0.344550882,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:38.890005Z,0.328084426,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:39.890005Z,0.294138571,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:40.890005Z,0.29703658,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:41.890005Z,0.381810682,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:42.890005Z,0.33045025,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:43.890005Z,0.35643287,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:44.890005Z,0.296902813,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:45.890005Z,0.23778474,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:46.890005Z,0.235198366,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:47.890005Z,0.230472452,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:48.890005Z,0.261828983,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:49.890005Z,0.25653421,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:50.890005Z,0.219952516,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:51.890005Z,0.227716336,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:52.890005Z,0.214870856,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:53.890005Z,0.233835142,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:54.890005Z,0.226699626,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:55.890005Z,0.27241968,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:56.890005Z,0.202195024,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:57.890005Z,0.208720952,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:58.890005Z,0.291797933,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:34:59.890005Z,0.245975608,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:00.890005Z,0.251057168,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:01.890005Z,0.309310979,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:02.890005Z,0.220359408,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:03.890005Z,0.242759055,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:04.890005Z,0.227780831,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:05.890005Z,0.31698833,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:06.890005Z,0.217341086,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:07.890005Z,0.220404674,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:08.890005Z,0.332721557,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:09.890005Z,0.289539686,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:10.890005Z,0.211412525,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:11.890005Z,0.208288585,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:12.890005Z,0.293290943,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:13.890005Z,0.319453747,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:14.890005Z,0.290714002,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:15.890005Z,0.21994762,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:16.890005Z,0.291657675,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:17.890005Z,0.285523999,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:18.890005Z,0.296210656,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:19.890005Z,0.24622668,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:20.890005Z,0.233189221,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:21.890005Z,0.234425278,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:22.890005Z,0.282802988,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:23.890005Z,0.257395931,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:24.890005Z,0.250966414,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:25.890005Z,0.333917214,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:26.890005Z,0.244987564,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:27.890005Z,0.304018243,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:28.890005Z,0.239953293,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:29.890005Z,0.27611065,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:30.890005Z,0.273001078,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:31.890005Z,0.289041175,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:32.890005Z,0.241509006,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:33.890005Z,0.280191483,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:34.890005Z,0.319704919,Column1,Feature Table
,,0,2020-02-12T12:41:57Z,2024-03-13T12:41:57.66Z,2024-03-11T13:35:35.890005Z,0.238556419,Column1,Feature Table
